X Y1 Y2
191 7.71131e-06 7.7168e-06
192 7.62827e-06 7.6337e-06
193 7.54657e-06 7.55194e-06
194 7.46617e-06 7.47149e-06
195 7.38705e-06 7.39231e-06
196 7.30917e-06 7.31438e-06
197 7.23253e-06 7.23768e-06
198 7.15708e-06 7.16218e-06
199 7.0828e-06 7.08785e-06
200 7.00968e-06 7.01467e-06
201 6.93768e-06 6.94262e-06
202 6.86679e-06 6.87168e-06
203 6.79697e-06 6.80181e-06
204 6.72822e-06 6.73301e-06
205 6.6605e-06 6.66524e-06
206 6.5938e-06 6.59849e-06
207 6.5281e-06 6.53274e-06
208 6.46337e-06 6.46796e-06
209 6.3996e-06 6.40415e-06
210 6.33677e-06 6.34127e-06
211 6.27486e-06 6.27931e-06
212 6.21386e-06 6.21826e-06
213 6.15373e-06 6.15809e-06
214 6.09448e-06 6.09879e-06
215 6.03608e-06 6.04035e-06
216 5.97851e-06 5.98274e-06
217 5.92176e-06 5.92595e-06
218 5.86582e-06 5.86996e-06
219 5.81066e-06 5.81476e-06
220 5.75628e-06 5.76034e-06
221 5.70266e-06 5.70668e-06
222 5.64979e-06 5.65376e-06
223 5.59764e-06 5.60158e-06
224 5.54622e-06 5.55011e-06
225 5.4955e-06 5.49935e-06
226 5.44547e-06 5.44928e-06
227 5.39612e-06 5.3999e-06
228 5.34744e-06 5.35118e-06
229 5.29942e-06 5.30312e-06
230 5.25204e-06 5.2557e-06
231 5.20529e-06 5.20891e-06
232 5.15916e-06 5.16275e-06
233 5.11364e-06 5.1172e-06
234 5.06873e-06 5.07225e-06
235 5.0244e-06 5.02788e-06
236 4.98065e-06 4.9841e-06
237 4.93747e-06 4.94088e-06
238 4.89485e-06 4.89823e-06
239 4.85277e-06 4.85612e-06
240 4.81124e-06 4.81456e-06
241 4.77024e-06 4.77352e-06
242 4.72976e-06 4.73301e-06
243 4.68979e-06 4.69301e-06
244 4.65033e-06 4.65352e-06
245 4.61137e-06 4.61452e-06
246 4.57289e-06 4.57601e-06
247 4.53489e-06 4.53798e-06
248 4.49736e-06 4.50042e-06
249 4.46029e-06 4.46333e-06
